time | time (millisecond),membrane | V (millivolt)
381,-86.192
382,-86.1938
383,-86.1956
384,-86.1974
385,-86.1992
386,-86.2009
387,-86.2026
388,-86.2042
389,-86.2059
390,-86.2076
391,-86.2092
392,-86.2108
393,-86.2124
394,-86.214
395,-86.2156
396,-86.2171
397,-86.2187
398,-86.2202
399,-86.2218
400,-86.2233
401,-86.2248
402,-86.2263
403,-86.2278
404,-86.2292
405,-86.2307
406,-86.2322
407,-86.2336
408,-86.235
409,-86.2364
410,-86.2378
411,-86.2392
412,-86.2406
413,-86.242
414,-86.2433
415,-86.2447
416,-86.246
417,-86.2474
418,-86.2487
419,-86.25
420,-86.2513
421,-86.2526
422,-86.2538
423,-86.2551
424,-86.2563
425,-86.2576
426,-86.2588
427,-86.26
428,-86.2612
429,-86.2624
430,-86.2636
431,-86.2648
432,-86.266
433,-86.2671
434,-86.2683
435,-86.2694
436,-86.2705
437,-86.2717
438,-86.2728
439,-86.2739
440,-86.275
441,-86.276
442,-86.2771
443,-86.2782
444,-86.2792
445,-86.2803
446,-86.2813
447,-86.2823
448,-86.2833
449,-86.2843
450,-86.2853
451,-86.2863
452,-86.2873
453,-86.2883
454,-86.2892
455,-86.2902
456,-86.2911
457,-86.2921
458,-86.293
459,-86.2939
460,-86.2948
461,-86.2957
462,-86.2966
463,-86.2975
464,-86.2984
465,-86.2993
466,-86.3001
467,-86.301
468,-86.3018
469,-86.3027
470,-86.3035
471,-86.3043
472,-86.3052
473,-86.306
474,-86.3068
475,-86.3076
476,-86.3084
477,-86.3091
478,-86.3099
479,-86.3107
480,-86.3114
481,-86.3122
482,-86.3129
483,-86.3137
484,-86.3144
485,-86.3151
486,-86.3159
487,-86.3166
488,-86.3173
489,-86.318
490,-86.3187
491,-86.3194
492,-86.3201
493,-86.3207
494,-86.3214
495,-86.3221
496,-86.3227
497,-86.3234
498,-86.324
499,-86.3247
500,-86.3253
501,-86.3259
502,-86.3266
503,-86.3272
504,-86.3278
505,-86.3284
506,-86.329
507,-86.3296
508,-86.3302
509,-86.3308
510,-86.3314
511,-86.3319
512,-86.3325
513,-86.3331
514,-86.3336
515,-86.3342
516,-86.3347
517,-86.3353
518,-86.3358
519,-86.3364
520,-86.3369
521,-86.3374
522,-86.3379
523,-86.3385
524,-86.339
525,-86.3395
526,-86.34
527,-86.3405
528,-86.341
529,-86.3415
530,-86.342
531,-86.3425
532,-86.3429
533,-86.3434
534,-86.3439
535,-86.3443
536,-86.3448
537,-86.3453
538,-86.3457
539,-86.3462
540,-86.3466
541,-86.3471
542,-86.3475
543,-86.3479
544,-86.3484
545,-86.3488
546,-86.3492
547,-86.3496
548,-86.35
549,-86.3505
550,-86.3509
551,-86.3513
552,-86.3517
553,-86.3521
554,-86.3525
555,-86.3529
556,-86.3533
557,-86.3536
558,-86.354
559,-86.3544
560,-86.3548
561,-86.3552
562,-86.3555
563,-86.3559
564,-86.3563
565,-86.3566
566,-86.357
567,-86.3573
568,-86.3577
569,-86.358
570,-86.3584
571,-86.3587
572,-86.359
573,-86.3594
574,-86.3597
575,-86.3601
576,-86.3604
577,-86.3607
578,-86.361
579,-86.3613
580,-86.3617
581,-86.362
582,-86.3623
583,-86.3626
584,-86.3629
585,-86.3632
586,-86.3635
587,-86.3638
588,-86.3641
589,-86.3644
590,-86.3647
591,-86.365
592,-86.3653
593,-86.3656
594,-86.3658
595,-86.3661
596,-86.3664
597,-86.3667
598,-86.3669
599,-86.3672
600,-86.3675
601,-86.3678
602,-86.368
603,-86.3683
604,-86.3685
605,-86.3688
606,-86.3691
607,-86.3693
608,-86.3696
609,-86.3698
610,-86.3701
611,-86.3703
612,-86.3706
613,-86.3708
614,-86.371
615,-86.3713
616,-86.3715
617,-86.3717
618,-86.372
619,-86.3722
620,-86.3724
621,-86.3727
622,-86.3729
623,-86.3731
624,-86.3733
625,-86.3735
626,-86.3738
627,-86.374
628,-86.3742
629,-86.3744
630,-86.3746
631,-86.3748
632,-86.375
633,-86.3752
634,-86.3754
635,-86.3757
636,-86.3759
637,-86.3761
638,-86.3762
639,-86.3764
640,-86.3766
641,-86.3768
642,-86.377
643,-86.3772
644,-86.3774
645,-86.3776
646,-86.3778
647,-86.378
648,-86.3781
649,-86.3783
650,-86.3785
651,-86.3787
652,-86.3789
653,-86.379
654,-86.3792
655,-86.3794
656,-86.3796
657,-86.3797
658,-86.3799
659,-86.3801
660,-86.3802
661,-86.3804
662,-86.3806
663,-86.3807
664,-86.3809
665,-86.381
666,-86.3812
667,-86.3814
668,-86.3815
669,-86.3817
670,-86.3818
671,-86.382
672,-86.3821
673,-86.3823
674,-86.3824
675,-86.3826
676,-86.3827
677,-86.3829
678,-86.383
679,-86.3832
680,-86.3833
681,-86.3834
682,-86.3836
683,-86.3837
684,-86.3839
685,-86.384
686,-86.3841
687,-86.3843
688,-86.3844
689,-86.3845
690,-86.3847
691,-86.3848
692,-86.3849
693,-86.3851
694,-86.3852
695,-86.3853
696,-86.3855
697,-86.3856
698,-86.3857
699,-86.3858
700,-86.3859
701,-86.3861
702,-86.3862
703,-86.3863
704,-86.3864
705,-86.3865
706,-86.3867
707,-86.3868
708,-86.3869
709,-86.387
710,-86.3871
711,-86.3872
712,-86.3874
713,-86.3875
714,-86.3876
715,-86.3877
716,-86.3878
717,-86.3879
718,-86.388
719,-86.3881
720,-86.3882
721,-86.3883
722,-86.3884
723,-86.3885
724,-86.3886
725,-86.3887
726,-86.3888
727,-86.3889
728,-86.389
729,-86.3891
730,-86.3892
731,-86.3893
732,-86.3894
733,-86.3895
734,-86.3896
735,-86.3897
736,-86.3898
737,-86.3899
738,-86.39
739,-86.3901
740,-86.3902
741,-86.3903
742,-86.3904
743,-86.3904
744,-86.3905
745,-86.3906
746,-86.3907
747,-86.3908
748,-86.3909
749,-86.391
750,-86.3911
751,-86.3911
752,-86.3912
753,-86.3913
754,-86.3914
755,-86.3915
756,-86.3916
757,-86.3916
758,-86.3917
759,-86.3918
760,-86.3919
761,-86.392
762,-86.392
763,-86.3921
764,-86.3922
765,-86.3923
766,-86.3923
767,-86.3924
768,-86.3925
769,-86.3926
770,-86.3926
771,-86.3927
772,-86.3928
773,-86.3929
774,-86.3929
775,-86.393
776,-86.3931
777,-86.3931
778,-86.3932
779,-86.3933
780,-86.3933
781,-86.3934
782,-86.3935
783,-86.3935
784,-86.3936
785,-86.3937
786,-86.3937
787,-86.3938
