environment | time (millisecond),membrane | V (millivolt)
376,-86.2237
377,-86.2253
378,-86.227
379,-86.2286
380,-86.2302
381,-86.2318
382,-86.2334
383,-86.2349
384,-86.2365
385,-86.238
386,-86.2395
387,-86.241
388,-86.2425
389,-86.2439
390,-86.2454
391,-86.2468
392,-86.2482
393,-86.2496
394,-86.251
395,-86.2524
396,-86.2538
397,-86.2551
398,-86.2565
399,-86.2578
400,-86.2591
401,-86.2604
402,-86.2617
403,-86.263
404,-86.2642
405,-86.2655
406,-86.2667
407,-86.2679
408,-86.2691
409,-86.2703
410,-86.2715
411,-86.2727
412,-86.2739
413,-86.275
414,-86.2761
415,-86.2773
416,-86.2784
417,-86.2795
418,-86.2806
419,-86.2817
420,-86.2827
421,-86.2838
422,-86.2849
423,-86.2859
424,-86.2869
425,-86.288
426,-86.289
427,-86.29
428,-86.291
429,-86.2919
430,-86.2929
431,-86.2939
432,-86.2948
433,-86.2958
434,-86.2967
435,-86.2976
436,-86.2986
437,-86.2995
438,-86.3004
439,-86.3013
440,-86.3021
441,-86.303
442,-86.3039
443,-86.3047
444,-86.3056
445,-86.3064
446,-86.3073
447,-86.3081
448,-86.3089
449,-86.3097
450,-86.3105
451,-86.3113
452,-86.3121
453,-86.3129
454,-86.3136
455,-86.3144
456,-86.3152
457,-86.3159
458,-86.3166
459,-86.3174
460,-86.3181
461,-86.3188
462,-86.3195
463,-86.3202
464,-86.3209
465,-86.3216
466,-86.3223
467,-86.323
468,-86.3237
469,-86.3244
470,-86.325
471,-86.3257
472,-86.3263
473,-86.327
474,-86.3276
475,-86.3282
476,-86.3289
477,-86.3295
478,-86.3301
479,-86.3307
480,-86.3313
481,-86.3319
482,-86.3325
483,-86.3331
484,-86.3337
485,-86.3342
486,-86.3348
487,-86.3354
488,-86.3359
489,-86.3365
490,-86.337
491,-86.3376
492,-86.3381
493,-86.3387
494,-86.3392
495,-86.3397
496,-86.3402
497,-86.3408
498,-86.3413
499,-86.3418
