environment | time (millisecond),membrane | V (millivolt)
375,-86.2248
376,-86.2264
377,-86.228
378,-86.2296
379,-86.2312
380,-86.2328
381,-86.2344
382,-86.2359
383,-86.2374
384,-86.2389
385,-86.2404
386,-86.2419
387,-86.2434
388,-86.2448
389,-86.2463
390,-86.2477
391,-86.2491
392,-86.2505
393,-86.2519
394,-86.2533
395,-86.2546
396,-86.256
397,-86.2573
398,-86.2586
399,-86.2599
400,-86.2612
401,-86.2625
402,-86.2637
403,-86.265
404,-86.2662
405,-86.2674
406,-86.2686
407,-86.2698
408,-86.271
409,-86.2722
410,-86.2734
411,-86.2745
412,-86.2757
413,-86.2768
414,-86.2779
415,-86.279
416,-86.2801
417,-86.2812
418,-86.2823
419,-86.2833
420,-86.2844
421,-86.2854
422,-86.2865
423,-86.2875
424,-86.2885
425,-86.2895
426,-86.2905
427,-86.2915
428,-86.2925
429,-86.2934
430,-86.2944
431,-86.2953
432,-86.2963
433,-86.2972
434,-86.2981
435,-86.299
436,-86.2999
437,-86.3008
438,-86.3017
439,-86.3026
440,-86.3034
441,-86.3043
442,-86.3051
443,-86.306
444,-86.3068
445,-86.3076
446,-86.3085
447,-86.3093
448,-86.3101
449,-86.3109
450,-86.3116
451,-86.3124
452,-86.3132
453,-86.314
454,-86.3147
455,-86.3155
456,-86.3162
457,-86.3169
458,-86.3177
459,-86.3184
460,-86.3191
461,-86.3198
462,-86.3205
463,-86.3212
464,-86.3219
465,-86.3226
466,-86.3233
467,-86.3239
468,-86.3246
469,-86.3252
470,-86.3259
471,-86.3265
472,-86.3272
473,-86.3278
474,-86.3284
475,-86.3291
476,-86.3297
477,-86.3303
478,-86.3309
479,-86.3315
480,-86.3321
481,-86.3327
482,-86.3332
483,-86.3338
484,-86.3344
485,-86.335
486,-86.3355
487,-86.3361
488,-86.3366
489,-86.3372
490,-86.3377
491,-86.3382
492,-86.3388
493,-86.3393
494,-86.3398
495,-86.3403
496,-86.3409
497,-86.3414
498,-86.3419
499,-86.3424
500,-86.3429
501,-86.3433
502,-86.3438
503,-86.3443
504,-86.3448
505,-86.3453
506,-86.3457
507,-86.3462
508,-86.3466
509,-86.3471
510,-86.3476
511,-86.348
512,-86.3484
513,-86.3489
514,-86.3493
515,-86.3498
516,-86.3502
517,-86.3506
518,-86.351
519,-86.3514
520,-86.3519
521,-86.3523
522,-86.3527
523,-86.3531
524,-86.3535
525,-86.3539
526,-86.3543
527,-86.3546
528,-86.355
529,-86.3554
530,-86.3558
531,-86.3562
532,-86.3565
533,-86.3569
534,-86.3573
535,-86.3576
536,-86.358
537,-86.3584
538,-86.3587
539,-86.3591
540,-86.3594
541,-86.3598
542,-86.3601
543,-86.3604
544,-86.3608
545,-86.3611
546,-86.3614
547,-86.3618
548,-86.3621
549,-86.3624
550,-86.3627
551,-86.363
552,-86.3634
553,-86.3637
554,-86.364
555,-86.3643
556,-86.3646
557,-86.3649
558,-86.3652
559,-86.3655
560,-86.3658
561,-86.3661
562,-86.3663
563,-86.3666
564,-86.3669
565,-86.3672
566,-86.3675
567,-86.3678
568,-86.368
569,-86.3683
570,-86.3686
571,-86.3688
572,-86.3691
573,-86.3694
574,-86.3696
575,-86.3699
576,-86.3701
577,-86.3704
578,-86.3707
579,-86.3709
580,-86.3712
581,-86.3714
582,-86.3716
583,-86.3719
584,-86.3721
585,-86.3724
586,-86.3726
587,-86.3728
588,-86.3731
589,-86.3733
590,-86.3735
591,-86.3738
592,-86.374
593,-86.3742
594,-86.3744
595,-86.3746
596,-86.3749
597,-86.3751
598,-86.3753
599,-86.3755
600,-86.3757
601,-86.3759
602,-86.3761
603,-86.3763
604,-86.3766
605,-86.3768
606,-86.377
607,-86.3772
608,-86.3774
609,-86.3775
610,-86.3777
611,-86.3779
612,-86.3781
613,-86.3783
614,-86.3785
615,-86.3787
616,-86.3789
617,-86.3791
618,-86.3793
619,-86.3794
620,-86.3796
621,-86.3798
622,-86.38
623,-86.3801
624,-86.3803
625,-86.3805
626,-86.3807
627,-86.3808
628,-86.381
629,-86.3812
630,-86.3813
631,-86.3815
632,-86.3817
633,-86.3818
634,-86.382
635,-86.3822
636,-86.3823
637,-86.3825
638,-86.3826
639,-86.3828
640,-86.3829
641,-86.3831
642,-86.3832
643,-86.3834
644,-86.3835
645,-86.3837
646,-86.3838
647,-86.384
648,-86.3841
649,-86.3843
650,-86.3844
651,-86.3846
652,-86.3847
653,-86.3848
654,-86.385
655,-86.3851
656,-86.3853
657,-86.3854
658,-86.3855
659,-86.3857
660,-86.3858
661,-86.3859
662,-86.3861
663,-86.3862
664,-86.3863
665,-86.3864
666,-86.3866
667,-86.3867
668,-86.3868
669,-86.3869
670,-86.3871
671,-86.3872
672,-86.3873
673,-86.3874
674,-86.3875
675,-86.3877
676,-86.3878
677,-86.3879
678,-86.388
679,-86.3881
680,-86.3882
681,-86.3884
682,-86.3885
683,-86.3886
684,-86.3887
685,-86.3888
686,-86.3889
687,-86.389
688,-86.3891
689,-86.3892
690,-86.3893
691,-86.3894
692,-86.3895
693,-86.3896
694,-86.3897
695,-86.3899
696,-86.39
697,-86.3901
698,-86.3902
699,-86.3903
700,-86.3903
701,-86.3904
702,-86.3905
703,-86.3906
704,-86.3907
705,-86.3908
706,-86.3909
707,-86.391
708,-86.3911
709,-86.3912
710,-86.3913
711,-86.3914
712,-86.3915
713,-86.3916
714,-86.3917
715,-86.3917
716,-86.3918
717,-86.3919
718,-86.392
719,-86.3921
720,-86.3922
721,-86.3923
722,-86.3923
723,-86.3924
724,-86.3925
725,-86.3926
726,-86.3927
727,-86.3928
728,-86.3928
729,-86.3929
730,-86.393
731,-86.3931
732,-86.3931
733,-86.3932
734,-86.3933
735,-86.3934
736,-86.3935
737,-86.3935
738,-86.3936
739,-86.3937
740,-86.3938
741,-86.3938
742,-86.3939
743,-86.394
744,-86.394
745,-86.3941
746,-86.3942
747,-86.3943
